cm^(-1),4,4_2,122,27,27_2
6999.83619,0.06901,0.10377,0.06443,0.17618,0.15118
6999.35401,0.06731,0.10404,0.06317,0.17641,0.15271
6998.87183,0.0656,0.10379,0.06247,0.17624,0.15409
6998.38965,0.06489,0.10335,0.06272,0.17618,0.15531
6997.90747,0.06554,0.10313,0.06391,0.17647,0.1561
6997.42528,0.06703,0.10333,0.06557,0.17687,0.15596
6996.9431,0.06828,0.10384,0.06697,0.17684,0.15448
6996.46092,0.06837,0.10423,0.06754,0.17601,0.15169
6995.97874,0.06711,0.10407,0.06719,0.17458,0.14815
6995.49656,0.06512,0.10317,0.06626,0.17325,0.14486
6995.01437,0.06341,0.10179,0.06529,0.17273,0.14281
6994.53219,0.06285,0.10061,0.06483,0.17328,0.14278
6994.05001,0.06378,0.10053,0.06527,0.17476,0.14509
6993.56783,0.06592,0.10212,0.06682,0.17684,0.14952
6993.08565,0.0685,0.10532,0.06932,0.17927,0.15527
6992.60346,0.07069,0.10931,0.07218,0.18179,0.16104
6992.12128,0.072,0.1129,0.07454,0.18397,0.1654
6991.6391,0.07246,0.11515,0.07571,0.18517,0.16725
6991.15692,0.07235,0.11567,0.0755,0.18491,0.16614
6990.67474,0.07194,0.11473,0.07435,0.18317,0.16253
6990.19255,0.07117,0.11298,0.073,0.18054,0.15755
6989.71037,0.06989,0.11117,0.07202,0.17793,0.15265
6989.22819,0.06812,0.10979,0.07156,0.17618,0.14909
6988.74601,0.06626,0.10889,0.07133,0.17562,0.14747
6988.26383,0.06483,0.10807,0.07092,0.17587,0.14771
6987.78164,0.06421,0.10683,0.07003,0.17609,0.14912
6987.29946,0.06438,0.10491,0.06856,0.17536,0.15079
6986.81728,0.06511,0.10251,0.06673,0.1734,0.15193
6986.3351,0.06606,0.10013,0.06496,0.17086,0.15219
6985.85292,0.06697,0.09821,0.06377,0.16903,0.15172
6985.37073,0.0676,0.097,0.0636,0.16907,0.15107
6984.88855,0.06781,0.09661,0.06453,0.17116,0.15081
6984.40637,0.06755,0.09714,0.06622,0.17429,0.15118
6983.92419,0.06694,0.0986,0.06799,0.17675,0.15205
6983.44201,0.06621,0.10076,0.06919,0.17718,0.15303
6982.95982,0.06558,0.10306,0.06945,0.17531,0.15373
6982.47764,0.06516,0.10491,0.06886,0.17203,0.15386
6981.99546,0.06503,0.10593,0.06775,0.16866,0.15325
6981.51328,0.0652,0.10611,0.06641,0.1662,0.15188
6981.03109,0.06564,0.10576,0.06493,0.16501,0.14998
6980.54891,0.06614,0.10527,0.06337,0.16496,0.14807
6980.06673,0.06639,0.10494,0.06195,0.16581,0.14668
6979.58455,0.06608,0.10488,0.06105,0.16737,0.14595
6979.10237,0.06512,0.10484,0.06096,0.16935,0.14548
6978.62018,0.06369,0.10432,0.06158,0.17131,0.14469
6978.138,0.06214,0.10282,0.0624,0.17274,0.14333
6977.65582,0.06087,0.10044,0.06291,0.17337,0.14173
6977.17364,0.06028,0.09807,0.06295,0.17337,0.1406
6976.69146,0.06066,0.09712,0.06286,0.17321,0.1405
6976.20927,0.06215,0.0986,0.06312,0.17335,0.1415
6975.72709,0.06465,0.10244,0.06407,0.17404,0.1433
6975.24491,0.06778,0.1074,0.06571,0.1753,0.14543
6974.76273,0.07098,0.11177,0.06785,0.17709,0.14764
6974.28055,0.07367,0.11436,0.0702,0.17927,0.1499
6973.79836,0.0754,0.115,0.07245,0.18147,0.15226
6973.31618,0.07598,0.11422,0.0742,0.18316,0.15464
6972.834,0.07548,0.11257,0.07511,0.18382,0.15669
6972.35182,0.07424,0.1104,0.07516,0.1834,0.15808
6971.86964,0.07288,0.10806,0.07468,0.18231,0.15869
6971.38745,0.07205,0.10616,0.07413,0.18125,0.15879
6970.90527,0.07214,0.10537,0.07374,0.18069,0.15872
6970.42309,0.07299,0.10593,0.07328,0.18071,0.15856
6969.94091,0.07395,0.10738,0.07225,0.18104,0.15813
6969.45873,0.07413,0.10884,0.07035,0.18131,0.15732
6968.97654,0.07295,0.10963,0.0678,0.18126,0.1564
6968.49436,0.07042,0.1095,0.06521,0.18075,0.15573
6968.01218,0.0671,0.10842,0.06307,0.17972,0.15521
6967.53,0.06382,0.10635,0.06156,0.17821,0.15421
6967.04782,0.06138,0.10336,0.06057,0.17642,0.15213
6966.56563,0.06036,0.09994,0.06016,0.1747,0.14911
6966.08345,0.061,0.09701,0.06066,0.17342,0.14616
6965.60127,0.06303,0.09543,0.06238,0.17283,0.14448
6965.11909,0.06571,0.09544,0.06504,0.17292,0.14459
6964.63691,0.06805,0.09651,0.06765,0.17336,0.14604
6964.15472,0.06927,0.09785,0.06899,0.17359,0.14787
6963.67254,0.0692,0.09898,0.06843,0.17307,0.14918
6963.19036,0.0683,0.09992,0.06642,0.17177,0.14958
6962.70818,0.06737,0.10094,0.06416,0.17035,0.1493
6962.226,0.06709,0.10229,0.06293,0.16992,0.14899
6961.74381,0.06767,0.10396,0.06334,0.1713,0.14926
6961.26163,0.06884,0.10576,0.06515,0.17425,0.15029
6960.77945,0.07005,0.10737,0.06752,0.17744,0.15164
6960.29727,0.07085,0.10846,0.06947,0.17929,0.15265
6959.81509,0.07124,0.10889,0.07034,0.17907,0.15308
6959.3329,0.07162,0.10884,0.07012,0.17742,0.1533
6958.85072,0.07256,0.10871,0.06934,0.17579,0.15404
6958.36854,0.07424,0.1087,0.06875,0.1754,0.15557
6957.88636,0.07621,0.10851,0.06875,0.17643,0.15744
6957.40418,0.07758,0.10758,0.06923,0.17808,0.15866
6956.92199,0.07751,0.10564,0.06968,0.17931,0.15837
6956.43981,0.07575,0.10319,0.06965,0.17952,0.15636
6955.95763,0.07291,0.10129,0.06911,0.17876,0.15319
6955.47545,0.07024,0.10085,0.06848,0.17754,0.14996
6954.99327,0.06901,0.10195,0.06841,0.17639,0.14782
6954.51108,0.06985,0.10373,0.06937,0.17555,0.14743
6954.0289,0.07238,0.10509,0.07131,0.17495,0.14865
6953.54672,0.07542,0.10537,0.07359,0.17447,0.15064
6953.06454,0.07767,0.10467,0.07517,0.17406,0.15236
6952.58236,0.07836,0.10344,0.07516,0.1738,0.15327
6952.10017,0.07753,0.10209,0.07328,0.17379,0.15355
6951.61799,0.07566,0.10073,0.07011,0.17411,0.15383
6951.13581,0.07331,0.09944,0.06672,0.17481,0.15462
6950.65363,0.0709,0.09847,0.06414,0.17598,0.1559
6950.17145,0.06879,0.09817,0.06283,0.17754,0.1572
6949.68926,0.06746,0.09876,0.06267,0.17921,0.15799
6949.20708,0.06737,0.10006,0.06328,0.1805,0.15805
6948.7249,0.06871,0.10152,0.0643,0.18101,0.1576
6948.24272,0.07117,0.10266,0.06559,0.1807,0.15707
6947.76054,0.07401,0.10325,0.06709,0.17995,0.15673
6947.27835,0.07635,0.10341,0.0686,0.17917,0.15649
6946.79617,0.07742,0.10337,0.06975,0.17844,0.15603
6946.31399,0.07692,0.1033,0.07012,0.17757,0.15513
6945.83181,0.07504,0.10322,0.06958,0.17643,0.15395
6945.34963,0.07244,0.10313,0.06842,0.17526,0.15288
6944.86744,0.06993,0.10303,0.06733,0.17445,0.15228
6944.38526,0.0681,0.10298,0.06701,0.17419,0.15217
6943.90308,0.06715,0.10316,0.06784,0.17427,0.15233
6943.4209,0.06697,0.10377,0.06963,0.17434,0.15249
6942.93872,0.06734,0.10485,0.07171,0.17429,0.15248
6942.45653,0.06803,0.10605,0.07319,0.17431,0.15224
6941.97435,0.06871,0.10664,0.07331,0.17448,0.15163
6941.49217,0.06892,0.10587,0.07171,0.17452,0.15052
6941.00999,0.06831,0.10346,0.0687,0.17385,0.14895
6940.52781,0.06692,0.09992,0.06513,0.17217,0.14733
6940.04562,0.06531,0.09637,0.06215,0.16987,0.14634
6939.56344,0.06431,0.094,0.06065,0.16788,0.14668
6939.08126,0.0645,0.09354,0.06095,0.16712,0.14857
6938.59908,0.06591,0.095,0.06277,0.16791,0.1516
